"Rank","player_name","team","age","proj_ortg_2028","proj_drtg_2028","proj_netrtg_2028"
1,"Napheesa Collier","MIN",32,110.112888233887,99.5011094512531,10.6117787826337
2,"A'ja Wilson","LVA",32,109.519455763087,99.002096271845,10.5173594912418
3,"Caitlin Clark","IND",27,109.913888147112,101.905626473502,8.00826167361049
4,"Alyssa Thomas","PHX",36,109.696211931958,101.872037469476,7.82417446248223
5,"Breanna Stewart","NYL",34,107.5691890954,100.33136108483,7.2378280105695
6,"Rhyne Howard","ATL",28,108.008551443903,101.34488863165,6.66366281225264
7,"Jackie Young","LVA",31,108.630521170867,102.39286958711,6.23765158375701
8,"Alanna Smith","MIN",32,106.542247615632,100.370223518185,6.17202409744667
9,"Jordin Canada","ATL",33,107.168379490446,101.012256992007,6.15612249843888
10,"Courtney Williams","MIN",34,107.955947949627,101.843126017821,6.11282193180612
11,"Skylar Diggins","SEA",38,107.554259586917,101.890688970535,5.66357061638179
12,"Sabrina Ionescu","NYL",31,108.261715760217,102.648133139179,5.61358262103879
13,"Allisha Gray","ATL",34,108.235429770373,102.82539450367,5.41003526670313
14,"Aliyah Boston","IND",27,107.352389827984,102.143276491173,5.20911333681072
15,"Chelsea Gray","LVA",36,107.800832825925,102.657538027752,5.14329479817297
16,"Kayla McBride","MIN",36,107.476538868465,102.501813752246,4.97472511621858
17,"Brionna Jones","ATL",33,106.710585488622,101.809654120167,4.90093136845528
18,"Gabby Williams","SEA",32,105.313836275255,100.681282888196,4.6325533870594
19,"Dearica Hamby","LAS",35,107.996769295957,103.690964601827,4.3058046941304
20,"Jonquel Jones","NYL",35,106.765999198551,102.575867027319,4.19013217123175
21,"Kelsey Mitchell","IND",33,107.995359121433,103.876550474992,4.11880864644144
22,"Emma Meesseman","NYL",35,106.705501203238,102.588518188257,4.11698301498019
23,"Veronica Burton","GSV",28,106.448464798588,102.366542310704,4.0819224878842
24,"Nneka Ogwumike","SEA",38,106.494283113756,102.605481565757,3.88880154799952
25,"Paige Bueckers","DAL",27,107.562422336763,103.741985582424,3.82043675433896
26,"Kelsey Plum","LAS",34,108.688233158854,105.056750904625,3.63148225422866
27,"Natasha Cloud","NYL",37,106.264638880216,102.756120712796,3.50851816741981
28,"Satou Sabally","PHX",30,106.137455175687,102.633727235288,3.50372794039934
29,"Naz Hillmon","ATL",28,106.207580761806,102.864754494414,3.34282626739298
