"season","player_id","player_name","position","team_abbrev","gp","total_min","fga","fgm","fg3a","fg3m","fta","ftm","oreb","dreb","tov","pts","efg_pct","tov_rate","ft_rate","orb_pct","dreb_pct","pts_per_min","ind_poss","approx_ortg","approx_drtg","age_2025","offrtg_2025","defrtg_2025","age","team_efg_off","team_efg_def","pos_avg_efg","pos_avg_tov","pos_avg_pts_min","pos_avg_ortg","pos_avg_drtg","efg_vs_pos","ortg_vs_pos","drtg_vs_pos","lag1_ortg","lag1_drtg","lag1_efg","lag1_tov","lag1_ft","lag1_pts_min","lag1_dreb","lag1_ortg_v_pos","lag1_drtg_v_pos","lag1_team_off","lag1_team_def"
2025,2529047,"Odyssey Sims","G","LA",17,354,96,40,34,12,34,26,6,29,17,118,0.479166666666667,0.132854016880275,0.354166666666667,0.171428571428571,0.828571428571429,0.333333333333333,127.96,92.2163175992498,57.049077836824,33,104,101.8,33,0.521341463414634,0.524394132653061,0.479751163469084,0.15841480754134,0.378445686285091,87.7460898542672,61.2385143129273,-0.000584496802417567,4.47022774498252,-4.18943647610332,85.9678313921242,59.6228508042152,0.449579831932773,0.110926234054354,0.176470588235294,0.391167192429022,0.818181818181818,-1.77825846214301,-1.61566350871213,0.516029792746114,0.500846023688663
2024,4398674,"Rhyne Howard","G","ATL",35,1015,450,167,243,80,134,105,25,106,51,519,0.46,0.0910779341381527,0.297777777777778,0.190839694656489,0.809160305343511,0.511330049261084,559.96,92.6851917994142,59.6471176512608,25,108.3,98.1,24,0.453378111418412,0.493139628732849,0.477982753748381,0.162029782566934,0.394422205360393,87.483454645907,61.3234617083873,-0.0179827537483814,5.20173715350724,-1.67634405712646,92.703512115437,59.3520283147291,0.469335604770017,0.102096378981759,0.281090289608177,0.530373831775701,0.865284974093264,4.64613430395273,-1.53461669129872,0.474881689115399,0.482104121475054
2022,3027368,"Emma Meesseman","F","CHI",37,1055,353,201,42,14,56,50,62,142,54,466,0.589235127478754,0.125104253544621,0.158640226628895,0.303921568627451,0.696078431372549,0.441706161137441,431.64,107.960337318135,47.7249559818367,32,104.1,100.5,29,0.531720856463125,0.4853889943074,0.508252885520192,0.158989244201048,0.404773741068969,92.9986379807036,55.22109293002,0.0809822419585617,14.9616993374319,-7.49613694818328,88.0162491536899,57.8876100203114,0.48125,0.1354096140826,0.145833333333333,0.410094637223975,0.688679245283019,-9.61913699555078,4.31581504419604,0.493055555555556,0.525983667409057
2021,2529205,"Kayla McBride","G","MIN",32,1010,330,143,161,61,100,91,8,107,34,438,0.525757575757576,0.0833333333333333,0.303030303030303,0.0695652173913043,0.930434782608696,0.433663366336634,408,107.352941176471,54.1666666666667,33,109.5,97,29,0.507921714818267,0.476331360946746,0.482173406261189,0.138631852227552,0.41834188409197,91.0524019925578,59.4031255827695,0.0435841694963866,16.3005391839128,-5.23645891610283,99.1634213183326,55.1709216789269,0.483490566037736,0.111784220395211,0.367924528301887,0.47008547008547,0.823529411764706,6.18749535301629,-3.13503707228077,0.50727994705493,0.485294117647059
2022,3149391,"A'ja Wilson","F","LV",37,1113,536,267,85,32,191,154,72,284,63,720,0.527985074626866,0.0922347153900211,0.35634328358209,0.202247191011236,0.797752808988764,0.646900269541779,683.04,105.411103302881,48.6062309674397,29,110.6,98.8,26,0.528620822128314,0.5,0.508252885520192,0.158989244201048,0.404773741068969,92.9986379807036,55.22109293002,0.019732189106674,12.4124653221776,-6.61486196258032,97.8355558533807,51.0956242042485,0.445278969957082,0.0770622528982108,0.414163090128755,0.571988246816846,0.788590604026846,4.19735704494046,-4.80071048397012,0.507788161993769,0.464392324093817
2024,2998938,"Kahleah Copper","G","PHX",39,1200,628,273,220,69,207,167,24,144,110,782,0.489649681528662,0.132677184348917,0.329617834394904,0.142857142857143,0.857142857142857,0.651666666666667,829.08,94.3214165098664,56.0862642929512,31,106.3,101,30,0.502188619180263,0.496324880558618,0.477982753748381,0.162029782566934,0.394422205360393,87.483454645907,61.3234617083873,0.0116669277802809,6.83796186395935,-5.23719741543605,95.1895747305197,55.9071164262348,0.506837606837607,0.126025634150265,0.25982905982906,0.59915611814346,0.850299401197605,7.13219691903542,-4.97952857979303,0.500898311174991,0.499089916272297
2021,2987869,"Jewell Loyd","G","SEA",32,988,470,199,176,66,120,107,26,102,72,571,0.493617021276596,0.121049092131809,0.25531914893617,0.203125,0.796875,0.577935222672065,594.8,95.9986550100874,57.6664425016812,32,106.2,101.2,28,0.513662406346408,0.47905872193437,0.482173406261189,0.138631852227552,0.41834188409197,91.0524019925578,59.4031255827695,0.0114436150154066,4.94625301752964,-1.73668308108825,101.881817092173,54.8363897878461,0.519762845849802,0.125854009349155,0.347826086956522,0.556464811783961,0.730769230769231,8.90589112685676,-3.46956896336155,0.532193158953722,0.453550099535501
2025,5209660,"Sevgi Uzun","G","PHX",7,102,14,3,8,1,6,4,0,6,10,11,0.25,0.375375375375375,0.428571428571429,0,1,0.107843137254902,26.64,41.2912912912913,78.8288288288288,28,95.5,102,28,0.501988071570577,0.485738539898132,0.479751163469084,0.15841480754134,0.378445686285091,87.7460898542672,61.2385143129273,-0.229751163469084,-46.454798562976,17.5903145159015,56.5878378378378,72.6351351351351,0.37037037037037,0.278716216216216,0.123456790123457,0.198224852071006,0.96,-31.1582520164294,11.3966208222078,0.475542542197727,0.521131447587354
2022,2987891,"Courtney Williams","G","CONN",35,952,387,165,65,22,36,27,30,126,57,379,0.454780361757106,0.123956158663883,0.0930232558139535,0.192307692307692,0.807692307692308,0.398109243697479,459.84,82.419972164231,60.6732776617954,31,108.9,95.9,28,0.508256141763995,0.494493858534519,0.488955851684948,0.15189335953492,0.424690042042196,90.9725349721333,59.6028741271774,-0.0341754899278424,-8.55256280790225,1.07040353461798,84.3269782567111,59.9375119556207,0.453296703296703,0.0924568003570745,0.0970695970695971,0.480036297640653,0.789954337899543,-6.7254237358467,0.534386372851237,0.458528285835815,0.520075578649032
2025,4257500,"Cecilia Zandalasini","F","GS",29,450,150,67,91,37,32,28,5,51,25,199,0.57,0.132219166490374,0.213333333333333,0.0892857142857143,0.910714285714286,0.442222222222222,189.08,105.246456526338,57.1186799238418,30,102.2,96.6,30,0.481513777467736,0.471714384270438,0.503147632711531,0.137210278321031,0.403597008238778,93.1482336464197,55.7947839607931,0.0668523672884693,12.0982228799184,1.32389596304864,98.9604158336665,56.9772091163535,0.574675324675325,0.159936025589764,0.207792207792208,0.396,0.891304347826087,5.73527869293889,1.32679206321467,0.520555990602976,0.462695089455653
