"season","player_name","team","GamesPlayed","Minutes","Assists","AssistPoints","TwoPtAssists","ThreePtAssists","AtRimAssists","ShortMidRangeAssists","LongMidRangeAssists","Corner3Assists","Arc3Assists","Fouls","ShootingFouls","Loose.Ball.Fouls","Loose.Ball.Fouls.Drawn","Offensive.Fouls","Charge.Fouls","Offensive.Fouls.Drawn","Charge.Fouls.Drawn","BlockingFouls","BlockingFoulsDrawn","Clear.Path.Fouls","Transition.Take.Fouls","Transition.Take.Fouls.Drawn","Defensive.3.Seconds.Violations","FoulsDrawn","PlusMinus","OnOffRtg","OnDefRtg","FirstChancePoints","ThreePtOffReboundedPct","AtRimOffReboundedPct","ShortMidRangeOffReboundedPct","LongMidRangeOffReboundedPct","Blocks","Blocked2s","Blocked3s","BlockedAtRim","BlockedShortMidRange","BlockedLongMidRange","BlockedCorner3","BlockedArc3","RecoveredBlocks","BlocksRecoveredPct","Steals","LostBallSteals","BadPassSteals","DefensiveGoaltends","Rebounds","DefRebounds","FTDefRebounds","DefFTReboundPct","DefTwoPtRebounds","DefTwoPtReboundPct","DefThreePtRebounds","DefThreePtReboundPct","DefFGReboundPct","OffRebounds","FTOffRebounds","OffFTReboundPct","OffTwoPtRebounds","OffTwoPtReboundPct","OffThreePtRebounds","OffThreePtReboundPct","OffFGReboundPct","DefAtRimReboundPct","DefShortMidRangeReboundPct","DefLongMidRangeReboundPct","DefArc3ReboundPct","DefCorner3ReboundPct","OffAtRimReboundPct","OffShortMidRangeReboundPct","OffLongMidRangeReboundPct","OffArc3ReboundPct","OffCorner3ReboundPct","SelfOReb","SelfORebPct","OffPoss","Points","FG2M","FG2A","Fg2Pct","FG3M","FG3A","Fg3Pct","NonHeaveFg3Pct","FtPoints","PtsAssisted2s","PtsUnassisted2s","PtsAssisted3s","PtsUnassisted3s","Assisted2sPct","NonPutbacksAssisted2sPct","Assisted3sPct","FG3APct","ShotQualityAvg","EfgPct","TsPct","PtsPutbacks","Fg2aBlocked","FG2APctBlocked","Fg3aBlocked","FG3APctBlocked","Usage","Turnovers","LiveBallTurnovers","DeadBallTurnovers","LiveBallTurnoverPct","LostBallTurnovers","LostBallOutOfBoundsTurnovers","BadPassTurnovers","BadPassOutOfBoundsTurnovers","Travels","X3SecondViolations","StepOutOfBoundsTurnovers","OffensiveGoaltends","ShotQualityAvg_x","FTA","Technical.Free.Throw.Trips","TwoPtShootingFoulsDrawn","X2pt.And.1.Free.Throw.Trips","ThreePtShootingFoulsDrawn","X3pt.And.1.Free.Throw.Trips","NonShootingFoulsDrawn","ShootingFoulsDrawnPct","TwoPtShootingFoulsDrawnPct","ThreePtShootingFoulsDrawnPct","PenaltyOffPoss","PenaltyOffPossPct","PenaltyPoints","PenaltyPointsPct","PenaltyFG2M","PenaltyFG2A","PenaltyFg2Pct","PenaltyFG3M","PenaltyFG3A","PenaltyFg3Pct","PenaltyFtPoints","PenaltyEfgPct","PenaltyTsPct","PenaltyShotQualityAvg","PenaltyAtRimFGM","PenaltyAtRimFGA","PenaltyAtRimFrequency","PenaltyAtRimAccuracy","PenaltyCorner3FGM","PenaltyCorner3FGA","PenaltyCorner3Frequency","PenaltyCorner3Accuracy","PenaltyArc3FGM","PenaltyArc3FGA","PenaltyArc3Frequency","PenaltyArc3Accuracy","PenaltyTurnovers","PenaltyOffPossExcludingTakeFouls","PenaltyPointsExcludingTakeFouls","NonShootingPenaltyNonTakeFoulsDrawn","PenaltyDefPoss","NonShootingPenaltyNonTakeFouls","SecondChanceOffPoss","SecondChancePoints","SecondChancePointsPct","SecondChanceFG2M","SecondChanceFG2A","SecondChanceFg2Pct","SecondChanceFG3M","SecondChanceFG3A","SecondChanceFg3Pct","SecondChanceFtPoints","SecondChanceEfgPct","SecondChanceTsPct","SecondChanceShotQualityAvg","SecondChanceAtRimFGM","SecondChanceAtRimFGA","SecondChanceAtRimFrequency","SecondChanceAtRimAccuracy","SecondChanceAtRimPctAssisted","SecondChanceCorner3FGM","SecondChanceCorner3FGA","SecondChanceCorner3Frequency","SecondChanceCorner3Accuracy","SecondChanceCorner3PctAssisted","SecondChanceArc3FGM","SecondChanceArc3FGA","SecondChanceArc3Frequency","SecondChanceArc3Accuracy","SecondChanceArc3PctAssisted","SecondChanceTurnovers","ShotQualityAvg_y","AtRimFG3AFrequency","Avg2ptShotDistance","Avg3ptShotDistance","AtRimFGM","AtRimFGA","AtRimFrequency","AtRimAccuracy","UnblockedAtRimAccuracy","AtRimPctAssisted","AtRimPctBlocked","ShortMidRangeFGM","ShortMidRangeFGA","ShortMidRangeFrequency","ShortMidRangeAccuracy","UnblockedShortMidRangeAccuracy","ShortMidRangePctAssisted","ShortMidRangePctBlocked","LongMidRangeFGM","LongMidRangeFGA","LongMidRangeFrequency","LongMidRangeAccuracy","UnblockedLongMidRangeAccuracy","LongMidRangePctAssisted","LongMidRangePctBlocked","Corner3FGM","Corner3FGA","Corner3Frequency","Corner3Accuracy","UnblockedCorner3Accuracy","Corner3PctAssisted","Corner3PctBlocked","Arc3FGM","Arc3FGA","Arc3Frequency","Arc3Accuracy","UnblockedArc3Accuracy","Arc3PctAssisted","Arc3PctBlocked","NonHeaveArc3FGM","NonHeaveArc3FGA","NonHeaveArc3Accuracy","HeaveAttempts","HeaveMakes","ppg","rpg","apg","bpg","spg","tpg","min_pg","age_2025","age","lag1_ortg","lag1_drtg","lag1_ppg","lag1_rpg","lag1_apg","lag1_ts","lag1_usg","lag1_efg","lag1_tpg","lag1_spg","lag1_bpg"
2023,"Brionna Jones","CON",13,412,31,76,17,14,9,5,3,3,11,53,24,5,5,10,0,3,0,0,0,0,0,0,1,56,66,106.575682382134,97.7805178791615,146,0.5,0.233333333333333,0.380952380952381,0,7,7,0,3,3,1,0,0,2,0.285714285714286,24,6,18,0,106,65,4,0.210526315789474,45,0.2,16,0.10738255033557,0.163101604278075,41,1,0.0344827586206896,32,0.119850187265918,8,0.0689655172413793,0.10443864229765,0.222222222222222,0.210084033613445,0.13953488372093,0.129310344827586,0.0303030303030303,0.101851851851852,0.138613861386139,0.120689655172414,0.0588235294117647,0.0967741935483871,4,0.0909090909090909,806,207,78,136,0.573529411764706,2,4,0.5,0.5,45,116,40,6,0,0.743589743589744,0.950819672131148,1,0.0285714285714285,0.533306785714286,0.578571428571429,0.619760479041916,34,14,0.102941176470588,0,0,21.0526315789474,29,8,21,0.275862068965517,5,2,3,2,5,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.9230769230769,8.15384615384615,2.38461538461538,0.538461538461538,1.84615384615385,2.23076923076923,31.6923076923077,30,28,108.538587848933,97.9132344865458,13.7777777777778,5.13888888888889,1.22222222222222,0.629441624365482,20.9052729818012,0.568807339449541,1.5,1.22222222222222,0.361111111111111
2025,"Kayla McBride","MIN",39,1220,137,322,89,48,51,25,13,13,35,52,14,1,2,3,1,4,1,0,0,0,0,0,0,82,296,111.39347734011,99.4461014060503,489,0.25,0.157894736842105,0.314285714285714,0.263157894736842,3,2,1,2,0,0,0,1,0,0,49,9,40,0,89,79,2,0.048780487804878,38,0.0534458509142053,39,0.088235294117647,0.0667823070251517,10,1,0.0185185185185185,6,0.0100502512562814,3,0.0061349693251533,0.0082872928176795,0.0286885245901639,0.066860465116279,0.065040650406504,0.1,0.0490196078431372,0.0059880239520958,0.0168067226890756,0.0052083333333333,0.0050377833753148,0.0108695652173913,3,0.0124481327800829,2361,554,75,167,0.449101796407186,103,261,0.39463601532567,0.39463601532567,95,92,58,291,18,0.613333333333333,0.621621621621622,0.941747572815534,0.60981308411215,NA,0.536214953271028,0.584745762711864,2,7,0.0419161676646706,0,0,20.1123595505618,67,47,20,0.701492537313433,15,4,32,10,0,0,1,0,0.505727686915888,105,3,21,7,9,1,22,0.0666666666666666,0.116022099447514,0.0334572490706319,354,0.149936467598475,114,0.205776173285199,9,22,0.409090909090909,18,33,0.545454545454545,42,0.654545454545455,0.7125,0.487061818181818,4,6,0.109090909090909,0.666666666666667,1,4,0.0727272727272727,0.25,17,29,0.527272727272727,0.586206896551724,5,336,89,5,360,3,271,65,0.117328519855596,11,21,0.523809523809524,14,26,0.538461538461538,1,0.680851063829787,0.677083333333333,0.506097058823529,4,6,0.127659574468085,0.666666666666667,0.75,2,3,0.0638297872340425,0.666666666666667,1,12,23,0.48936170212766,0.521739130434783,0.916666666666667,4,0.505727686915888,0.72196261682243,9.89221556886228,24.7900383141762,29,48,0.11214953271028,0.604166666666667,0.630434782608696,0.551724137931034,0.0416666666666666,24,59,0.13785046728972,0.406779661016949,0.436363636363636,0.583333333333333,0.0677966101694915,22,60,0.14018691588785,0.366666666666667,0.372881355932203,0.727272727272727,0.0166666666666666,23,47,0.10981308411215,0.48936170212766,0.48936170212766,0.956521739130435,0,80,214,0.5,0.373831775700935,0.373831775700935,0.9375,0,80,214,0.373831775700935,0,0,14.2051282051282,2.28205128205128,3.51282051282051,0.0769230769230769,1.25641025641026,1.71794871794872,31.2820512820513,33,33,106.411837237978,94.238683127572,15.025641025641,2.56410256410256,3.23076923076923,0.606157112526539,20.1541850220264,0.547101449275362,2.02564102564103,1.25641025641026,0.0512820512820513
2024,"Dana Evans","CHI",39,743,94,208,74,20,33,25,16,5,15,48,14,1,0,2,0,7,1,0,0,0,0,1,0,45,-238,92.8913192071087,109.308692676249,263,0.261538461538461,0.294117647058823,0.269230769230769,0.352941176470588,5,5,0,2,3,0,0,0,3,0.6,26,16,10,0,43,38,0,0,21,0.0526315789473684,17,0.0702479338842975,0.0592823712948517,5,0,0,3,0.0057034220532319,2,0.0094786729857819,0.0067842605156037,0.01875,0.064516129032258,0.0952380952380952,0.0552486187845303,0.114754098360656,0.0053191489361702,0.0084388185654008,0,0.0061349693251533,0.0208333333333333,1,0.0071428571428571,1463,279,54,143,0.377622377622378,41,109,0.376146788990826,0.376146788990826,48,38,70,87,36,0.351851851851852,0.358490566037736,0.707317073170732,0.432539682539683,0.471057142857143,0.458333333333333,0.503636363636364,2,10,0.0699300699300699,1,0.0091743119266055,19.3950177935943,53,36,17,0.679245283018868,4,1,32,8,1,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.15384615384615,1.1025641025641,2.41025641025641,0.128205128205128,0.666666666666667,1.35897435897436,19.051282051282,27,26,100.847457627119,103.406326034063,8.97435897435897,1.2051282051282,3.02564102564103,0.477777777777778,22.1458773784355,0.425465838509317,1.56410256410256,0.692307692307692,0.102564102564103
2025,"Natisha Hiedeman","MIN",44,835,123,298,71,52,38,17,16,13,39,71,37,2,0,1,0,8,1,0,0,1,0,1,0,58,183,110.659272951325,99.0178023327195,356,0.380281690140845,0.208333333333333,0.324324324324324,0.333333333333333,9,6,3,2,2,2,2,1,5,0.555555555555556,32,6,26,0,82,71,3,0.0576923076923076,32,0.073394495412844,36,0.107462686567164,0.0881971465629053,11,1,0.0188679245283018,6,0.0141843971631205,4,0.0131147540983606,0.0137362637362637,0.0141843971631205,0.0744186046511627,0.175,0.0944881889763779,0.148148148148148,0.0149253731343283,0.0168539325842696,0.009009009009009,0.0079365079365079,0.0377358490566037,6,0.0461538461538461,1623,399,105,182,0.576923076923077,46,124,0.370967741935484,0.38655462184874,51,96,114,111,27,0.457142857142857,0.470588235294118,0.804347826086957,0.405228758169935,NA,0.568627450980392,0.59375,6,13,0.0714285714285714,3,0.0241935483870967,20.8667736757624,54,32,22,0.592592592592593,8,5,24,14,1,0,1,0,0.512114784053156,67,0,27,5,2,0,6,0.0851063829787234,0.132352941176471,0.008,371,0.228589032655576,94,0.235588972431078,21,43,0.488372093023256,11,34,0.323529411764706,19,0.487012987012987,0.528089887640449,0.465642361111111,16,22,0.285714285714286,0.727272727272727,1,3,0.0389610389610389,0.333333333333333,10,31,0.402597402597403,0.32258064516129,11,367,94,6,451,7,221,43,0.107769423558897,8,18,0.444444444444444,9,18,0.5,0,0.597222222222222,0.597222222222222,0.491345833333333,5,8,0.222222222222222,0.625,0.4,1,4,0.111111111111111,0.25,1,8,14,0.388888888888889,0.571428571428571,0.875,1,0.512114784053156,0.741830065359477,5.47307692307692,25.5774193548387,77,103,0.336601307189543,0.747572815533981,0.810526315789474,0.493506493506494,0.0776699029126213,23,63,0.205882352941176,0.365079365079365,0.396551724137931,0.391304347826087,0.0793650793650793,5,16,0.0522875816993464,0.3125,0.3125,0.2,0,9,22,0.0718954248366013,0.409090909090909,0.428571428571428,1,0.0454545454545454,37,102,0.333333333333333,0.362745098039216,0.37,0.756756756756757,0.0196078431372549,37,97,0.381443298969072,5,0,9.06818181818182,1.86363636363636,2.79545454545455,0.204545454545455,0.727272727272727,1.22727272727273,18.9772727272727,29,29,103.684661525278,103.619528619529,4.85,1.55,2.375,0.470873786407767,19.0114068441065,0.440104166666667,1.1,0.8,0.15
2024,"Kalani Brown","DAL",38,512,41,87,36,5,19,12,5,1,4,63,35,3,1,8,0,0,0,0,0,0,0,0,0,50,-84,101.333333333333,110.917874396135,168,0,0.466666666666667,0.368421052631579,0.285714285714286,22,21,1,10,11,0,0,1,12,0.545454545454545,6,2,4,0,119,76,4,0.121212121212121,35,0.12589928057554,37,0.203296703296703,0.156521739130435,43,0,0,34,0.103030303030303,9,0.0625,0.090717299578059,0.141414141414141,0.131147540983607,0.087719298245614,0.201550387596899,0.207547169811321,0.123809523809524,0.121428571428571,0.0470588235294117,0.065040650406504,0.0476190476190476,3,0.0652173913043478,1050,223,92,155,0.593548387096774,0,3,0,0,39,138,46,0,0,0.75,0.907894736842105,0,0.0189873417721519,0.527493670886076,0.582278481012658,0.612637362637363,32,20,0.129032258064516,0,0,18.9054726368159,46,18,28,0.391304347826087,6,4,12,10,1,1,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.86842105263158,3.13157894736842,1.07894736842105,0.578947368421053,0.157894736842105,1.21052631578947,13.4736842105263,29,28,105.042816365366,111.016949152542,7.78125,4.46875,1.03125,0.680327868852459,18.2926829268293,0.629370629370629,1.3125,0.21875,0.6875
2024,"Jade Melbourne","WAS",37,528,58,139,35,23,17,9,9,7,16,54,19,3,0,1,2,8,4,0,0,0,0,0,0,58,-12,96.8330134357006,97.9846449136276,190,0.275862068965517,0.352941176470588,0.285714285714286,0.5,5,5,0,3,2,0,0,0,2,0.4,24,6,18,0,55,42,1,0.037037037037037,19,0.0662020905923344,22,0.108910891089109,0.0838445807770961,13,3,0.107142857142857,5,0.0174216027874564,5,0.0277777777777777,0.0214132762312633,0.0547945205479452,0.0684931506849315,0.0735294117647058,0.0980392156862745,0.142857142857143,0.024390243902439,0.02,0,0.0279720279720279,0.027027027027027,2,0.0285714285714285,1042,199,52,110,0.472727272727273,20,56,0.357142857142857,0.37037037037037,35,36,68,57,3,0.346153846153846,0.352941176470588,0.95,0.337349397590361,0.508139329268293,0.493975903614458,0.532085561497326,2,15,0.136363636363636,0,0,21.1554800339847,62,39,23,0.629032258064516,10,3,29,12,4,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.37837837837838,1.48648648648649,1.56756756756757,0.135135135135135,0.648648648648649,1.67567567567568,14.2702702702703,23,22,98.7138263665595,102.431118314425,2.62068965517241,1.17241379310345,1.20689655172414,0.5,14.5299145299145,0.4140625,0.896551724137931,0.413793103448276,0.0344827586206897
2025,"Veronica Burton","GSV",44,1287,265,661,134,131,55,54,25,35,96,103,44,5,10,1,0,18,5,0,0,0,0,2,0,188,89,105.074875207987,101.583993330554,471,0.276190476190476,0.378378378378378,0.4,0.166666666666667,27,23,4,10,12,1,1,3,14,0.518518518518518,50,15,35,0,192,142,5,0.0943396226415094,68,0.106918238993711,69,0.118965517241379,0.11266447368421,50,2,0.0392156862745098,19,0.0327022375215146,29,0.0457413249211356,0.0395061728395061,0.0942028985507246,0.0859598853868194,0.167785234899329,0.140388768898488,0.0341880341880341,0.0253164556962025,0.0416666666666666,0.018018018018018,0.0508474576271186,0.0308641975308641,12,0.064516129032258,2404,525,88,208,0.423076923076923,61,177,0.344632768361582,0.352601156069364,166,64,112,138,45,0.363636363636364,0.363636363636364,0.754098360655738,0.45974025974026,NA,0.466233766233766,0.554603854389722,0,32,0.153846153846154,5,0.0282485875706214,20.0287150035894,94,66,28,0.702127659574468,15,4,51,16,1,1,1,0,0.482663324538258,189,8,70,16,2,1,27,0.163636363636364,0.267175572519084,0.0112359550561797,441,0.183444259567388,133,0.253333333333333,18,38,0.473684210526316,10,38,0.263157894736842,67,0.43421052631579,0.604545454545454,0.463608571428571,4,10,0.131578947368421,0.4,1,3,0.0394736842105263,0.333333333333333,9,35,0.460526315789474,0.257142857142857,15,436,129,21,446,8,330,54,0.102857142857143,4,9,0.444444444444444,12,28,0.428571428571428,10,0.594594594594595,0.630952380952381,0.517690625,0,0,0,0,0,2,3,0.081081081081081,0.666666666666667,1,10,25,0.675675675675676,0.4,0.7,10,0.482663324538258,0.633766233766234,5.88894230769231,26.180790960452,30,67,0.174025974025974,0.447761194029851,0.517241379310345,0.333333333333333,0.134328358208955,50,127,0.32987012987013,0.393700787401575,0.471698113207547,0.38,0.165354330708661,8,14,0.0363636363636363,0.571428571428571,0.666666666666667,0.375,0.142857142857143,8,15,0.0389610389610389,0.533333333333333,0.571428571428571,0.875,0.0666666666666666,53,162,0.420779220779221,0.32716049382716,0.335443037974684,0.735849056603774,0.0246913580246913,53,158,0.335443037974684,4,0,11.9318181818182,4.36363636363636,6.02272727272727,0.613636363636364,1.13636363636364,2.13636363636364,29.25,25,25,108.55614973262,94.0079893475366,3.09677419354839,1.41935483870968,1.87096774193548,0.533333333333333,12.3820754716981,0.451388888888889,0.483870967741935,0.451612903225806,0.225806451612903
2023,"Jewell Loyd","SEA",38,1344,131,304,89,42,49,30,10,9,33,63,34,2,5,9,3,16,4,0,0,0,0,2,1,258,-146,99.7022701898028,105.765630849869,856,0.207253886010363,0.471698113207547,0.228346456692913,0.197916666666667,16,15,1,7,8,0,0,1,12,0.75,38,8,30,0,178,137,2,0.0327868852459016,84,0.104347826086957,51,0.114349775784753,0.107913669064748,41,0,0,20,0.0248447204968944,21,0.0428571428571428,0.0316602316602316,0.118320610687023,0.0710382513661202,0.152542372881356,0.116071428571429,0.109090909090909,0.0303030303030303,0.0297297297297297,0.0098039215686274,0.044776119402985,0.034090909090909,12,0.0273348519362186,2687,939,170,447,0.380313199105145,115,322,0.357142857142857,0.359375,254,130,210,216,129,0.38235294117647,0.408805031446541,0.626086956521739,0.418725617685306,0.468510248041775,0.445383615084525,0.520786516853933,22,26,0.058165548098434,5,0.015527950310559,32.4448831852583,106,71,35,0.669811320754717,35,5,36,11,2,1,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.7105263157895,4.68421052631579,3.44736842105263,0.421052631578947,1,2.78947368421053,35.3684210526316,32,30,106.407322654462,97.799174690509,16.2777777777778,2.63888888888889,3.36111111111111,0.522482014388489,25.9745588838736,0.478346456692913,2.16666666666667,1.08333333333333,0.194444444444444
2025,"Tiffany Hayes","GSV",26,700,77,192,39,38,17,15,7,11,27,58,19,3,8,0,0,6,2,0,0,0,0,0,0,79,70,105.864197530864,99.8466257668712,265,0.327586206896552,0.230769230769231,0.244444444444444,0.428571428571428,4,4,0,1,3,0,0,0,3,0.75,14,8,6,0,100,82,3,0.115384615384615,38,0.110144927536232,41,0.124620060790274,0.117210682492582,18,0,0,5,0.0159235668789808,13,0.0379008746355685,0.0273972602739726,0.0714285714285714,0.106951871657754,0.162162162162162,0.12156862745098,0.135135135135135,0.0112359550561797,0.0172413793103448,0.0196078431372549,0.0404858299595141,0.03125,3,0.0254237288135593,1296,303,58,136,0.426470588235294,41,101,0.405940594059406,0.41,64,34,82,96,27,0.293103448275862,0.303571428571428,0.780487804878049,0.426160337552743,NA,0.5042194092827,0.549090909090909,4,17,0.125,1,0.0099009900990099,21.6288384512684,49,34,15,0.693877551020408,12,4,22,9,2,0,0,0,0.492751063829787,80,1,26,3,0,0,15,0.1,0.163522012578616,0,278,0.214506172839506,78,0.257425742574257,17,41,0.414634146341463,5,17,0.294117647058823,29,0.422413793103448,0.506493506493506,0.464713392857143,8,17,0.293103448275862,0.470588235294118,0,1,0.0172413793103448,0,5,16,0.275862068965517,0.3125,7,275,75,13,257,6,173,38,0.125412541254125,9,19,0.473684210526316,5,14,0.357142857142857,5,0.5,0.513513513513513,0.51453,7,12,0.363636363636364,0.583333333333333,0,1,3,0.0909090909090909,0.333333333333333,1,4,11,0.333333333333333,0.363636363636364,0.75,1,0.492751063829787,0.670886075949367,5.45808823529412,25.3881188118812,32,58,0.244725738396624,0.551724137931034,0.615384615384615,0.25,0.103448275862069,24,69,0.291139240506329,0.347826086956522,0.413793103448276,0.375,0.159420289855072,2,9,0.0379746835443038,0.222222222222222,0.222222222222222,0,0,8,13,0.0548523206751054,0.615384615384615,0.615384615384615,1,0,33,88,0.371308016877637,0.375,0.379310344827586,0.727272727272727,0.0113636363636363,33,87,0.379310344827586,1,0,11.6538461538462,3.84615384615385,2.96153846153846,0.153846153846154,0.538461538461538,1.88461538461538,26.9230769230769,36,36,108.114035087719,101.09249817917,9.59375,2.8125,2.125,0.609126984126984,18.6248331108144,0.57906976744186,0.84375,0.75,0.28125
2024,"Alyssa Thomas","CON",40,1277,317,720,231,86,130,54,47,17,69,84,28,3,6,15,5,5,0,0,0,0,0,1,0,133,194,104.143201930813,96.4170692431562,354,0,0.375,0.203125,0.375,18,18,0,7,11,0,0,0,10,0.555555555555556,62,26,36,0,337,239,17,0.404761904761905,150,0.223880597014925,72,0.172248803827751,0.204044117647059,98,2,0.0238095238095238,63,0.0801526717557251,33,0.0911602209944751,0.0836236933797909,0.171875,0.243243243243243,0.248275862068966,0.165137614678899,0.197802197802198,0.102739726027397,0.0632911392405063,0.0730337078651685,0.100358422939068,0.0602409638554216,11,0.089430894308943,2486,423,166,322,0.515527950310559,0,4,0,0,91,200,132,0,0,0.602409638554217,0.684931506849315,0,0.0122699386503067,0.540568518518519,0.50920245398773,0.543701799485861,40,30,0.093167701863354,0,0,18.7280393534786,145,77,68,0.531034482758621,16,8,61,29,6,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.575,8.425,7.925,0.45,1.55,3.625,31.925,33,32,107.084661707403,99.1849751948972,15.475,9.85,7.925,0.522804054054054,22.6467847157502,0.473684210526316,3.425,1.825,0.475
